PLAsTiCC_obj_id,g_pk_time,r_pk_time,i_pk_time,z_pk_time,y_pk_time,g_pk_mag,r_pk_mag,i_pk_mag,z_pk_mag,y_pk_mag,g_a1,g_a2,r_a1,r_a2,i_a1,i_a2,z_a1,z_a2,y_a1,y_a2,g_std_time,r_std_time,i_std_time,z_std_time,y_std_time,g_std_mag,r_std_mag,i_std_mag,z_std_mag,y_std_mag,g_std_a1,g_std_a2,r_std_a1,r_std_a2,i_std_a1,i_std_a2,z_std_a1,z_std_a2,y_std_a1,y_std_a2,type,photo_z
333034,,,,59814.9677,,,,,-20.337857,,,,,,,,-3.9363455,1.9813253,,,,,,6.18904366,,,,,0.08388404,,,,,,,,0.445452,0.2246685,,,SN Ia,1.306
9566,60622.49112,60629.61969,60632.8904,60634.48722,60636.50128,-18.832533,-19.626533,-20.071161,-20.065733,-20.037035,-9.484962898,-0.510801784,-8.295624019,0.500339743,-5.810487494,1.0622076,-1.78515626,0.912921118,0.438900457,0.440475945,0.924390539,0.599385602,0,0.93203735,2.414168251,0.055550446,0.027844915,0.024300408,0.031725133,0.0880866,2.347663364,0.435298742,0.799134566,0.267273962,0.313979826,0.150095579,0.311537267,0.152558907,0.604827498,0.354554561,SN Ia,0.865
125669,60504.24618,60507.17115,60509.48206,60510.62876,60508.84108,-18.803529,-19.547916,-19.611184,-19.575354,-19.701838,-7.550336733,-0.050894467,-6.443137207,0.487309351,-3.077601399,0.683399227,-0.28228037,0.493271343,1.351239476,-0.100707866,3.772983691,0.924986686,0.687468033,2.309613742,1.600564266,11.84611552,4.890326744,3.439842124,0.054510471,1.912444709,1.823537235,0.366982362,0.675257526,0.237659811,0.275616976,0.133195736,0.258671987,0.134645663,0.470725437,0.286608613,SN Ia,0.605
303749,,59635.5651,59635.5803,59644.4056,,,-19.557936,-19.665453,-19.538762,,,,-6.8805491,0.42108646,-3.1708047,0.66664538,-0.327964,0.49602538,,,,5.48655243,9.40953881,3.324045,,,0.34049146,0.42219441,0.08202721,,,,0.65617149,0.23685918,0.27289954,0.13231121,0.24748112,0.13271184,,,SN Ia,0.604
306230,,60608.59532,60611.6959,60613.0218,,,-18.706719,-19.65275,-19.774105,,,,-8.510981891,0.560472058,-6.1704019,1.02072716,-1.7240898,1.10902517,,,,0.76230473,0,3.25162289,,,1.228884202,0.0422429,0.05627424,,,,0.935343401,0.30565879,0.35179822,0.17113256,0.33127688,0.16943208,,,SN Ia,0.886
108418,59804.8216,59808.74226,59810.55454,,,-18.021128,-17.922065,-17.516021,,,-7.067058576,-0.118077579,-5.560108694,0.47307368,-2.21047641,0.59925064,,,,,0,2.112431493,0.554060107,,,0.049069032,0.06496217,2.03269784,,,1.43247412,0.319948784,0.583270349,0.21741407,0.256496236,0.12328015,,,,,SN II,0.527
246237,,60624.9608,60625.93,60625.8816,,,-19.13131,-19.740937,-19.805837,,,,-8.4983493,0.51957657,-6.1500963,0.82575579,-1.8420232,0.95659342,,,,1.60481013,0.82982436,1.47177476,,,0.05052658,0.02930585,0.03874189,,,,0.91733656,0.30067234,0.3430636,0.15856542,0.31784625,0.15799397,,,SN Ia,0.87
333305,59858.099,,,59874.591,59875.2877,-20.177256,,,-21.677404,-21.69087,-5.5895972,0.86196907,,,,,-0.8371289,1.70931161,0.79900724,1.79819323,0,,,1.17736273,3.09603497,0.05895158,,,0.01946285,0.04500787,3.22753077,0.57639403,,,,,0.29847446,0.15319311,0.65554499,0.35854946,SLSN,1.356
61216,59799.19693,59799.92469,59804.97857,59804.8879,59805.89319,-17.587041,-18.609107,-19.093148,-19.381484,-19.537437,-7.080600822,0.025851007,-1.009696335,0.148290808,0.151367297,0.399235548,1.872467876,0.154838563,3.032337396,-0.266551491,1.709160546,0.949308972,0.636086128,0,1.243158226,0.084627268,0.029221997,0.021447056,0.02216009,0.044713547,1.591593356,0.330600265,0.346595443,0.204941363,0.183699447,0.112428261,0.163578219,0.113690939,0.314642485,0.229078008,SN Ibc,0.515
1031661,,,59853.1232,,,,,-20.3159,,,,,,,-3.9547652,0.75545352,,,,,,,1.25922885,,,,,0.06129526,,,,,,,0.2918157,0.14164658,,,,,SN Ia,0.681
