mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.27559,z,21.16532899,0.049221934,23.34380189,c4d_210322_063650_ooi_z_v1.fits.fz,TRUE,2021hmx ,0.4765
59295.278,r,21.47315901,0.035440451,24.07004222,c4d_210322_064019_ooi_r_v1.fits.fz,FALSE,,
59295.27938,g,22.37697046,0.082103749,24.0595505,c4d_210322_064218_ooi_g_v1.fits.fz,TRUE,,
59295.28041,g,23.04886654,0.150144159,24.0359836,c4d_210322_064347_ooi_g_v1.fits.fz,FALSE,,
59295.28143,r,21.61388822,0.039226205,24.10006141,c4d_210322_064515_ooi_r_v1.fits.fz,TRUE,,
59295.28281,z,21.22673149,0.053824487,23.2968971,c4d_210322_064715_ooi_z_v1.fits.fz,FALSE,,
59297.23166,g,22.59072856,0.065158064,24.51558456,c4d_210324_053335_ooi_g_v1.fits.fz,FALSE,,
59297.2327,r,21.78371499,0.059787682,23.83062826,c4d_210324_053505_ooi_r_v1.fits.fz,TRUE,,
59297.2365,g,22.58729844,0.081327026,24.28875948,c4d_210324_054034_ooi_g_v1.fits.fz,FALSE,,
59297.23752,r,21.78352883,0.054071465,23.92686322,c4d_210324_054201_ooi_r_v1.fits.fz,TRUE,,
59297.2389,z,21.23005147,0.070185957,23.03722642,c4d_210324_054400_ooi_z_v1.fits.fz,TRUE,,
59301.19177,g,22.48213854,0.510903663,22.10415077,c4d_210328_043609_ooi_g_v1.fits.fz,FALSE,,
59301.19282,r,21.77272383,0.168461003,22.59882442,c4d_210328_043739_ooi_r_v1.fits.fz,FALSE,,
59301.1942,z,21.53533587,0.108094415,22.87066733,c4d_210328_043938_ooi_z_v1.fits.fz,TRUE,,
59301.19663,g,16.81636466,2.203012275,14.88274375,c4d_210328_044309_ooi_g_v1.fits.fz,FALSE,,
59301.19765,r,21.82283548,0.181947393,22.57248772,c4d_210328_044436_ooi_r_v1.fits.fz,FALSE,,
59301.19903,z,21.37622652,0.090937964,22.89882145,c4d_210328_044636_ooi_z_v1.fits.fz,TRUE,,
59304.2376,z,22.26560503,0.455703147,22.01076674,c4d_210331_054208_ooi_z_v1.fits.fz,FALSE,,
59304.24149,z,22.31001753,0.283893581,22.57587359,c4d_210331_054744_ooi_z_v1.fits.fz,FALSE,,
59304.34578,r,22.48154225,0.622088233,21.90244899,c4d_210331_081755_ooi_r_v1.fits.fz,FALSE,,
59304.34669,r,22.04150883,0.359741772,22.05712797,c4d_210331_081914_ooi_r_v1.fits.fz,FALSE,,
59307.26368,g,27.30002805,55.58322878,21.83750109,c4d_210403_061942_ooi_g_v1.fits.fz,FALSE,,
59307.2646,r,23.42211022,1.091082663,22.21448257,c4d_210403_062101_ooi_r_v1.fits.fz,FALSE,,
59307.26575,z,22.05084284,0.199029078,22.72630307,c4d_210403_062240_ooi_z_v1.fits.fz,TRUE,,
59307.26758,g,22.69958218,0.562798622,22.21483013,c4d_210403_062518_ooi_g_v1.fits.fz,FALSE,,
59307.26849,r,22.03392068,0.17438935,22.84921335,c4d_210403_062637_ooi_r_v1.fits.fz,FALSE,,
59307.26962,z,21.80738312,0.191952101,22.49391917,c4d_210403_062815_ooi_z_v1.fits.fz,FALSE,,
59307.33747,g,22.98247468,0.192134665,23.67112416,c4d_210403_080557_ooi_g_v1.fits.fz,FALSE,,
59307.33838,g,23.1784742,0.468718309,22.90800003,c4d_210403_080716_ooi_g_v1.fits.fz,FALSE,,
59310.26491,g,23.43083033,0.297690502,23.6681779,c4d_210406_062128_ooi_g_v1.fits.fz,FALSE,,
59310.26583,r,22.14725839,0.089833752,23.70662557,c4d_210406_062247_ooi_r_v1.fits.fz,TRUE,,
59310.26698,z,21.9074981,0.129232054,23.04216093,c4d_210406_062426_ooi_z_v1.fits.fz,TRUE,,
59310.26888,g,22.91851362,0.195877241,23.62885221,c4d_210406_062710_ooi_g_v1.fits.fz,FALSE,,
59310.26979,r,22.03216044,0.078086968,23.73644286,c4d_210406_062829_ooi_r_v1.fits.fz,TRUE,,
59310.27094,z,21.65499306,0.092882841,23.15258367,c4d_210406_063008_ooi_z_v1.fits.fz,TRUE,,
59310.34412,g,23.97928498,0.503203972,23.64236818,c4d_210406_081532_ooi_g_v1.fits.fz,FALSE,,
59310.34503,g,23.30466936,0.145912357,24.31088401,c4d_210406_081650_ooi_g_v1.fits.fz,TRUE,,
59313.21777,g,23.29681267,0.180455535,24.09838135,c4d_210409_051335_ooi_g_v1.fits.fz,FALSE,,
59313.2187,r,22.07600019,0.067401951,23.94350475,c4d_210409_051455_ooi_r_v1.fits.fz,TRUE,,
59313.21983,z,21.59793581,0.077909333,23.29707516,c4d_210409_051633_ooi_z_v1.fits.fz,TRUE,,
59313.22168,g,23.13800654,0.109936542,24.4857003,c4d_210409_051913_ooi_g_v1.fits.fz,TRUE,,
59313.2226,r,22.26101241,0.07181194,24.08032439,c4d_210409_052032_ooi_r_v1.fits.fz,TRUE,,
59313.22377,z,21.69870012,0.075386492,23.43376927,c4d_210409_052214_ooi_z_v1.fits.fz,FALSE,,
59313.30602,g,23.33033861,0.21553265,23.92638188,c4d_210409_072039_ooi_g_v1.fits.fz,FALSE,,
59313.30702,g,23.08658848,0.198096785,23.77047754,c4d_210409_072206_ooi_g_v1.fits.fz,FALSE,,
59316.20382,g,23.55264842,0.245006033,24.02676214,c4d_210412_045330_ooi_g_v1.fits.fz,FALSE,,
59316.20475,r,22.28441105,0.088288077,23.86546116,c4d_210412_045450_ooi_r_v1.fits.fz,TRUE,,
59316.2059,z,21.69552941,0.103741232,23.08696807,c4d_210412_045629_ooi_z_v1.fits.fz,TRUE,,
59316.20759,g,23.31638572,0.20209551,23.98906181,c4d_210412_045855_ooi_g_v1.fits.fz,FALSE,,
59316.20851,r,22.42948667,0.092319669,23.95952516,c4d_210412_050015_ooi_r_v1.fits.fz,TRUE,,
59316.20966,z,21.63720431,0.088386772,23.17406862,c4d_210412_050154_ooi_z_v1.fits.fz,TRUE,,
59316.29436,g,23.98138357,0.402526019,23.90295393,c4d_210412_070352_ooi_g_v1.fits.fz,FALSE,,
59316.29528,g,23.01688637,0.160131916,23.94910318,c4d_210412_070512_ooi_g_v1.fits.fz,FALSE,,
59319.2406,g,23.22429208,0.125343178,24.41435576,c4d_210415_054627_ooi_g_v1.fits.fz,FALSE,,
59319.24154,r,22.37679848,0.092728311,23.91746254,c4d_210415_054748_ooi_r_v1.fits.fz,TRUE,,
59319.24269,z,22.01959445,0.132178435,23.12802646,c4d_210415_054928_ooi_z_v1.fits.fz,TRUE,,
59319.24437,g,23.31494092,0.104310697,24.71824945,c4d_210415_055153_ooi_g_v1.fits.fz,TRUE,,
59319.24528,r,22.33401245,0.090530174,23.90342446,c4d_210415_055312_ooi_r_v1.fits.fz,TRUE,,
59319.24644,z,21.87519852,0.107660268,23.20819092,c4d_210415_055452_ooi_z_v1.fits.fz,TRUE,,
59319.31696,g,23.30891917,0.176606833,24.14885271,c4d_210415_073625_ooi_g_v1.fits.fz,FALSE,,
59319.31786,g,22.96009958,0.091826994,24.50344232,c4d_210415_073743_ooi_g_v1.fits.fz,TRUE,,
59322.22996,g,23.02528646,0.108331814,24.40394021,c4d_210418_053108_ooi_g_v1.fits.fz,TRUE,,
59322.23088,r,22.41796991,0.102829601,23.84076306,c4d_210418_053228_ooi_r_v1.fits.fz,TRUE,,
59322.23208,z,21.86903327,0.10895415,23.19915572,c4d_210418_053411_ooi_z_v1.fits.fz,TRUE,,
59322.23375,g,23.18811612,0.100706682,24.61099158,c4d_210418_053635_ooi_g_v1.fits.fz,TRUE,,
59322.23467,r,22.3333737,0.081852681,24.01721489,c4d_210418_053755_ooi_r_v1.fits.fz,TRUE,,
59322.23582,z,21.84562228,0.102864527,23.23135512,c4d_210418_053934_ooi_z_v1.fits.fz,TRUE,,
59322.31181,g,23.28148614,0.193736314,23.99415597,c4d_210418_072900_ooi_g_v1.fits.fz,FALSE,,
59322.31274,g,23.39825211,0.131975629,24.54805292,c4d_210418_073020_ooi_g_v1.fits.fz,FALSE,,
59329.20052,g,23.25936488,0.376715027,23.23611874,c4d_210425_044844_ooi_g_v1.fits.fz,FALSE,,
59329.20145,r,22.36964813,0.128668565,23.52532586,c4d_210425_045005_ooi_r_v1.fits.fz,TRUE,,
59329.2026,z,21.94206759,0.136359621,23.00997029,c4d_210425_045144_ooi_z_v1.fits.fz,TRUE,,
59329.20427,g,22.96472044,0.181897946,23.70589152,c4d_210425_045409_ooi_g_v1.fits.fz,FALSE,,
59329.2052,r,22.35324602,0.131991458,23.47662426,c4d_210425_045528_ooi_r_v1.fits.fz,FALSE,,
59329.20633,z,21.75637574,0.099034409,23.19218103,c4d_210425_045706_ooi_z_v1.fits.fz,TRUE,,
59329.30179,g,23.81646168,1.669507589,22.16859175,c4d_210425_071434_ooi_g_v1.fits.fz,FALSE,,
59329.30271,g,23.12641029,0.927302632,22.11220615,c4d_210425_071554_ooi_g_v1.fits.fz,FALSE,,
59333.19506,g,22.21713335,0.31046693,22.38219244,c4d_210429_044053_ooi_g_v1.fits.fz,FALSE,,
59333.19599,r,22.82854587,0.206007762,23.45957022,c4d_210429_044213_ooi_r_v1.fits.fz,FALSE,,
59333.19714,z,22.00912081,0.155885554,22.94882911,c4d_210429_044352_ooi_z_v1.fits.fz,TRUE,,
59333.19862,g,23.21921097,0.322263248,23.35623882,c4d_210429_044601_ooi_g_v1.fits.fz,FALSE,,
59333.19953,r,22.84171385,0.33536495,22.92706061,c4d_210429_044719_ooi_r_v1.fits.fz,FALSE,,
59333.20069,z,22.20412848,0.214683438,22.77429759,c4d_210429_044859_ooi_z_v1.fits.fz,FALSE,,
59337.2049,g,23.28017104,0.391806183,23.20087033,c4d_210503_045503_ooi_g_v1.fits.fz,FALSE,,
59337.20582,r,22.17051175,0.10256163,23.5466361,c4d_210503_045622_ooi_r_v1.fits.fz,TRUE,,
59337.20696,z,21.90087265,0.145546334,22.89189537,c4d_210503_045801_ooi_z_v1.fits.fz,FALSE,,
59337.21609,g,24.71461233,1.504459047,23.19069865,c4d_210503_051110_ooi_g_v1.fits.fz,FALSE,,
59337.217,r,22.65785176,0.195514664,23.33503651,c4d_210503_051229_ooi_r_v1.fits.fz,FALSE,,
59337.21816,z,21.93688301,0.178514692,22.69672013,c4d_210503_051408_ooi_z_v1.fits.fz,TRUE,,
59337.30028,g,23.05715825,0.514049539,22.69565066,c4d_210503_071224_ooi_g_v1.fits.fz,FALSE,,
