mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.32866,g,20.16370696,0.01300484,24.1589809,c4d_210322_075316_ooi_g_v1.fits.fz,TRUE,2021gwm ,0.1571
59295.32968,r,20.25752581,0.012780286,24.11646445,c4d_210322_075444_ooi_r_v1.fits.fz,TRUE,,
59295.33106,z,21.01280939,0.046962127,23.25635793,c4d_210322_075643_ooi_z_v1.fits.fz,TRUE,,
59295.33347,z,20.98891123,0.045010653,23.27350422,c4d_210322_080011_ooi_z_v1.fits.fz,TRUE,,
59295.33588,r,20.25545285,0.01291413,24.07549868,c4d_210322_080340_ooi_r_v1.fits.fz,TRUE,,
59295.33726,g,20.19118335,0.013664785,24.13091965,c4d_210322_080538_ooi_g_v1.fits.fz,TRUE,,
59297.28472,z,20.99906771,0.048844563,23.21774747,c4d_210324_064959_ooi_z_v1.fits.fz,FALSE,,
59297.28714,r,20.25059517,0.015737797,23.91245921,c4d_210324_065328_ooi_r_v1.fits.fz,TRUE,,
59297.2885,g,20.16717645,0.012481909,24.27004804,c4d_210324_065526_ooi_g_v1.fits.fz,TRUE,,
59297.28953,g,20.20615762,0.012535403,24.30256815,c4d_210324_065655_ooi_g_v1.fits.fz,TRUE,,
59297.29055,r,20.26422395,0.011966628,24.25370035,c4d_210324_065823_ooi_r_v1.fits.fz,TRUE,,
59297.29192,z,20.91100018,0.046656527,23.18513892,c4d_210324_070021_ooi_z_v1.fits.fz,FALSE,,
59301.25009,g,20.39293296,0.071773019,22.16219343,c4d_210328_060007_ooi_g_v1.fits.fz,TRUE,,
59301.25115,r,20.29795025,0.03859296,22.77075882,c4d_210328_060139_ooi_r_v1.fits.fz,TRUE,,
59301.25252,z,21.15471625,0.071655627,22.95260438,c4d_210328_060337_ooi_z_v1.fits.fz,FALSE,,
59301.25495,g,20.35396041,0.059435225,22.32199324,c4d_210328_060707_ooi_g_v1.fits.fz,TRUE,,
59301.25599,r,20.30749981,0.038438732,22.76633767,c4d_210328_060837_ooi_r_v1.fits.fz,TRUE,,
59301.25736,z,21.14116976,0.082185554,22.76233273,c4d_210328_061035_ooi_z_v1.fits.fz,TRUE,,
59304.28435,r,20.26405394,0.039185194,22.70880497,c4d_210331_064927_ooi_r_v1.fits.fz,TRUE,,
59304.28663,z,21.11478253,0.101396301,22.49865721,c4d_210331_065245_ooi_z_v1.fits.fz,FALSE,,
59304.28824,r,20.40504948,0.088700115,21.94598776,c4d_210331_065504_ooi_r_v1.fits.fz,FALSE,,
59304.2906,z,21.78075989,0.317713091,21.92453177,c4d_210331_065827_ooi_z_v1.fits.fz,FALSE,,
59304.33549,r,20.42183209,0.081343515,22.05314193,c4d_210331_080306_ooi_r_v1.fits.fz,FALSE,,
59304.33639,r,20.42431146,0.048030535,22.65519257,c4d_210331_080424_ooi_r_v1.fits.fz,FALSE,,
59307.27928,g,21.47131641,1.295984603,20.09994427,c4d_210403_064209_ooi_g_v1.fits.fz,FALSE,,
59307.2802,r,21.02979234,0.692064128,20.31331645,c4d_210403_064329_ooi_r_v1.fits.fz,FALSE,,
59307.28135,z,22.47852432,2.200155611,20.51840407,c4d_210403_064508_ooi_z_v1.fits.fz,FALSE,,
59307.28318,g,20.94636273,0.346928974,21.02299384,c4d_210403_064746_ooi_g_v1.fits.fz,FALSE,,
59307.28408,r,20.0068289,0.158847893,20.90317169,c4d_210403_064904_ooi_r_v1.fits.fz,FALSE,,
59307.28521,z,22.34311792,2.497678319,20.23256294,c4d_210403_065042_ooi_z_v1.fits.fz,FALSE,,
59307.35356,g,20.58299812,0.050625801,22.76477556,c4d_210403_082907_ooi_g_v1.fits.fz,TRUE,,
59307.35447,g,20.68407088,0.091787248,22.22028324,c4d_210403_083026_ooi_g_v1.fits.fz,TRUE,,
59310.28055,g,20.94124717,0.029626379,23.825487,c4d_210406_064359_ooi_g_v1.fits.fz,TRUE,,
59310.28145,r,20.70498286,0.022639423,23.85735577,c4d_210406_064517_ooi_r_v1.fits.fz,TRUE,,
59310.2826,z,21.6937175,0.093791784,23.19406472,c4d_210406_064656_ooi_z_v1.fits.fz,FALSE,,
59310.28444,g,20.97729281,0.032761389,23.72501754,c4d_210406_064935_ooi_g_v1.fits.fz,TRUE,,
59310.28537,r,20.69830308,0.023339512,23.79951861,c4d_210406_065055_ooi_r_v1.fits.fz,TRUE,,
59310.2865,z,21.66376605,0.098481379,23.09313915,c4d_210406_065233_ooi_z_v1.fits.fz,TRUE,,
59310.34776,g,20.96060034,0.030720959,23.81555257,c4d_210406_082046_ooi_g_v1.fits.fz,TRUE,,
59310.34873,g,20.93708225,0.03244546,23.67474928,c4d_210406_082210_ooi_g_v1.fits.fz,TRUE,,
59313.23347,g,21.30240754,0.029864088,24.22867918,c4d_210409_053611_ooi_g_v1.fits.fz,TRUE,,
59313.23439,r,20.87874701,0.021462318,24.10234648,c4d_210409_053730_ooi_r_v1.fits.fz,TRUE,,
59313.23554,z,21.91478369,0.101139095,23.31562604,c4d_210409_053910_ooi_z_v1.fits.fz,TRUE,,
59313.23738,g,21.26671652,0.031493523,24.10285026,c4d_210409_054149_ooi_g_v1.fits.fz,TRUE,,
59313.23832,r,20.85903934,0.025077112,23.91879181,c4d_210409_054310_ooi_r_v1.fits.fz,TRUE,,
59313.23947,z,21.87214203,0.115143687,23.13052288,c4d_210409_054450_ooi_z_v1.fits.fz,TRUE,,
59313.30985,g,21.36919384,0.047361432,23.66191991,c4d_210409_072610_ooi_g_v1.fits.fz,TRUE,,
59313.31075,g,21.25928381,0.045315746,23.61379544,c4d_210409_072729_ooi_g_v1.fits.fz,TRUE,,
59316.21878,g,21.66129864,0.045991698,24.04291342,c4d_210412_051502_ooi_g_v1.fits.fz,TRUE,,
59316.2197,r,21.02418582,0.027119966,23.99041893,c4d_210412_051622_ooi_r_v1.fits.fz,TRUE,,
59316.22086,z,21.74713615,0.105694563,23.10657155,c4d_210412_051802_ooi_z_v1.fits.fz,TRUE,,
59316.22252,g,21.58856121,0.049368116,23.85317281,c4d_210412_052025_ooi_g_v1.fits.fz,TRUE,,
59316.22345,r,21.0088812,0.028395249,23.88740127,c4d_210412_052146_ooi_r_v1.fits.fz,TRUE,,
59316.2246,z,21.82865135,0.115934385,23.09325003,c4d_210412_052325_ooi_z_v1.fits.fz,TRUE,,
59316.29807,g,21.69379038,0.047951423,24.03434996,c4d_210412_070913_ooi_g_v1.fits.fz,TRUE,,
59316.29899,g,21.58987479,0.048098752,23.8887474,c4d_210412_071032_ooi_g_v1.fits.fz,TRUE,,
59319.25558,g,21.93783091,0.048079075,24.28658994,c4d_210415_060802_ooi_g_v1.fits.fz,TRUE,,
59319.2565,r,21.14333909,0.028838951,24.04932803,c4d_210415_060921_ooi_r_v1.fits.fz,TRUE,,
59319.25764,z,21.48252715,0.078679435,23.17341807,c4d_210415_061100_ooi_z_v1.fits.fz,FALSE,,
59319.2593,g,21.86150137,0.052161154,24.10308716,c4d_210415_061323_ooi_g_v1.fits.fz,TRUE,,
59319.26021,r,21.11117789,0.028331813,24.06479982,c4d_210415_061442_ooi_r_v1.fits.fz,TRUE,,
59319.26134,z,21.57438406,0.082207891,23.21627193,c4d_210415_061620_ooi_z_v1.fits.fz,TRUE,,
59319.3206,g,21.96810464,0.050164636,24.25664367,c4d_210415_074139_ooi_g_v1.fits.fz,FALSE,,
59319.32151,g,22.03580394,0.060564058,24.07896171,c4d_210415_074258_ooi_g_v1.fits.fz,TRUE,,
59322.24497,g,22.17057193,0.056787771,24.30460639,c4d_210418_055245_ooi_g_v1.fits.fz,FALSE,,
59322.24591,r,21.30737869,0.0306961,24.10214982,c4d_210418_055406_ooi_r_v1.fits.fz,TRUE,,
59322.24707,z,21.52703945,0.080121255,23.20958744,c4d_210418_055546_ooi_z_v1.fits.fz,FALSE,,
59322.25221,g,22.23640601,0.068533116,24.12374514,c4d_210418_060310_ooi_g_v1.fits.fz,TRUE,,
59322.25312,r,21.20277958,0.030469993,24.03686039,c4d_210418_060429_ooi_r_v1.fits.fz,TRUE,,
59322.25428,z,21.55175555,0.086984936,23.12367147,c4d_210418_060609_ooi_z_v1.fits.fz,TRUE,,
59322.3155,g,22.43439066,0.083837451,24.12551511,c4d_210418_073419_ooi_g_v1.fits.fz,TRUE,,
59322.3164,g,22.49148357,0.100137643,23.94462025,c4d_210418_073536_ooi_g_v1.fits.fz,TRUE,,
59329.21553,g,23.43713683,0.834696809,22.52702184,c4d_210425_051021_ooi_g_v1.fits.fz,FALSE,,
59329.21645,r,21.49723454,0.092495592,23.00396242,c4d_210425_051141_ooi_r_v1.fits.fz,TRUE,,
59329.21759,z,21.54148024,0.091722399,23.05652273,c4d_210425_051319_ooi_z_v1.fits.fz,TRUE,,
59329.21928,g,23.17077866,0.679996711,22.5159289,c4d_210425_051545_ooi_g_v1.fits.fz,FALSE,,
59329.2202,r,21.56763856,0.112451385,22.82953071,c4d_210425_051704_ooi_r_v1.fits.fz,TRUE,,
59329.22135,z,21.3651612,0.104648566,22.71588465,c4d_210425_051844_ooi_z_v1.fits.fz,TRUE,,
59329.30545,g,22.46315532,0.431461243,22.2748383,c4d_210425_071951_ooi_g_v1.fits.fz,FALSE,,
59329.30636,g,22.37718446,0.437036304,22.18184716,c4d_210425_072109_ooi_g_v1.fits.fz,FALSE,,
59333.20929,g,22.13942327,0.270581366,22.46474762,c4d_210429_050122_ooi_g_v1.fits.fz,FALSE,,
59333.2102,r,21.85364427,0.143709698,22.85650593,c4d_210429_050241_ooi_r_v1.fits.fz,FALSE,,
59333.21134,z,21.41715276,0.119786366,22.61749439,c4d_210429_050419_ooi_z_v1.fits.fz,TRUE,,
59333.21283,g,22.86674638,0.575391227,22.38448669,c4d_210429_050628_ooi_g_v1.fits.fz,FALSE,,
59333.21374,r,21.6119176,0.078989702,23.29195548,c4d_210429_050747_ooi_r_v1.fits.fz,TRUE,,
59333.21488,z,21.7806897,0.122678642,22.98778572,c4d_210429_050925_ooi_z_v1.fits.fz,FALSE,,
59337.22358,r,22.04102448,0.110332402,23.33639024,c4d_210503_052157_ooi_r_v1.fits.fz,TRUE,,
59337.22472,g,23.58118534,0.545639394,23.1312312,c4d_210503_052335_ooi_g_v1.fits.fz,FALSE,,
59337.22563,z,22.04663776,0.197452292,22.71612108,c4d_210503_052454_ooi_z_v1.fits.fz,FALSE,,
59337.23104,r,21.87383081,0.097310885,23.33291281,c4d_210503_053241_ooi_r_v1.fits.fz,TRUE,,
59337.23218,g,23.65112156,0.632114476,23.06293576,c4d_210503_053420_ooi_g_v1.fits.fz,FALSE,,
59337.2331,z,21.85983021,0.153051476,22.80691405,c4d_210503_053539_ooi_z_v1.fits.fz,TRUE,,
59337.30584,g,22.80306014,0.361122322,22.81432262,c4d_210503_072024_ooi_g_v1.fits.fz,FALSE,,
59337.31052,g,22.82316061,0.38755771,22.77597438,c4d_210503_072708_ooi_g_v1.fits.fz,FALSE,,
59340.2797,g,23.72572391,0.366232222,23.7478187,c4d_210506_064246_ooi_g_v1.fits.fz,FALSE,,
59340.28061,r,22.11132754,0.084113135,23.72064492,c4d_210506_064404_ooi_r_v1.fits.fz,TRUE,,
59340.28176,z,21.84142631,0.132205265,22.94110852,c4d_210506_064543_ooi_z_v1.fits.fz,FALSE,,
59340.28325,g,23.00211873,0.216565603,23.56409032,c4d_210506_064752_ooi_g_v1.fits.fz,FALSE,,
59340.28414,r,22.15030818,0.09267537,23.66426911,c4d_210506_064909_ooi_r_v1.fits.fz,TRUE,,
59340.28529,z,22.09761809,0.187526719,22.83241002,c4d_210506_065048_ooi_z_v1.fits.fz,FALSE,,
59346.25098,g,23.9977661,0.388273693,23.95841025,c4d_210512_060125_ooi_g_v1.fits.fz,FALSE,,
59346.25189,r,22.44728544,0.096142132,23.92657001,c4d_210512_060243_ooi_r_v1.fits.fz,TRUE,,
59346.25303,z,22.16650448,0.180880099,22.94154269,c4d_210512_060421_ooi_z_v1.fits.fz,FALSE,,
59346.25451,g,24.43553241,0.666536613,23.79164233,c4d_210512_060630_ooi_g_v1.fits.fz,FALSE,,
59346.25542,r,22.36509152,0.09308622,23.87008102,c4d_210512_060748_ooi_r_v1.fits.fz,TRUE,,
59346.25656,z,22.36218645,0.21373193,22.94995338,c4d_210512_060926_ooi_z_v1.fits.fz,FALSE,,
59349.23861,g,27.22732636,13.78731965,23.30723675,c4d_210515_054335_ooi_g_v1.fits.fz,FALSE,,
59349.23953,r,22.52446014,0.116049471,23.7906338,c4d_210515_054455_ooi_r_v1.fits.fz,TRUE,,
59349.24068,z,22.0327945,0.153141827,22.98664172,c4d_210515_054634_ooi_z_v1.fits.fz,FALSE,,
59349.26633,g,23.80637382,0.726377153,23.06313058,c4d_210515_062331_ooi_g_v1.fits.fz,FALSE,,
59349.26725,r,22.62110899,0.235065902,23.107041,c4d_210515_062450_ooi_r_v1.fits.fz,FALSE,,
59349.26841,z,22.0542365,0.30681109,22.23575341,c4d_210515_062630_ooi_z_v1.fits.fz,FALSE,,
59352.1432,g,23.76562441,0.248374015,24.21374864,c4d_210518_032612_ooi_g_v1.fits.fz,FALSE,,
59352.14412,r,22.59888335,0.096962795,24.06838226,c4d_210518_032732_ooi_r_v1.fits.fz,TRUE,,
59352.14527,z,22.16550212,0.151435669,23.13700973,c4d_210518_032911_ooi_z_v1.fits.fz,FALSE,,
59352.14675,g,23.57326691,0.249787257,23.9898807,c4d_210518_033119_ooi_g_v1.fits.fz,FALSE,,
59352.14767,r,22.53415174,0.096387833,24.00311213,c4d_210518_033238_ooi_r_v1.fits.fz,TRUE,,
59352.14883,z,22.41430808,0.197877425,23.06821259,c4d_210518_033418_ooi_z_v1.fits.fz,FALSE,,
59352.28083,g,23.60143904,0.310235397,23.79853556,c4d_210518_064423_ooi_g_v1.fits.fz,FALSE,,
59352.28175,g,23.74073122,0.450625401,23.51786648,c4d_210518_064542_ooi_g_v1.fits.fz,FALSE,,
59356.14201,g,23.42154442,0.544811375,22.97672008,c4d_210522_032429_ooi_g_v1.fits.fz,FALSE,,
59356.14293,r,22.76556002,0.217247601,23.34173756,c4d_210522_032549_ooi_r_v1.fits.fz,FALSE,,
59356.14408,z,22.36567358,0.209220241,22.96561491,c4d_210522_032728_ooi_z_v1.fits.fz,FALSE,,
59356.22093,g,25.41857036,3.608780691,22.93189291,c4d_210522_051808_ooi_g_v1.fits.fz,FALSE,,
59356.22186,r,22.90179184,0.173601463,23.71199613,c4d_210522_051928_ooi_r_v1.fits.fz,FALSE,,
59356.22301,z,22.76207975,0.287667046,23.01508317,c4d_210522_052108_ooi_z_v1.fits.fz,FALSE,,
59367.20711,g,24.12435979,0.488105501,23.81935323,c4d_210602_045814_ooi_g_v1.fits.fz,FALSE,,
59367.20803,r,22.85125123,0.135992787,23.94538624,c4d_210602_045934_ooi_r_v1.fits.fz,FALSE,,
59367.20918,z,22.3341974,0.184724646,23.07643632,c4d_210602_050112_ooi_z_v1.fits.fz,FALSE,,
59367.21066,g,24.8222832,1.17985786,23.53731924,c4d_210602_050320_ooi_g_v1.fits.fz,FALSE,,
59367.21156,r,22.67751984,0.130701862,23.80402017,c4d_210602_050438_ooi_r_v1.fits.fz,TRUE,,
59367.2127,z,23.24082488,0.425463316,23.06798446,c4d_210602_050617_ooi_z_v1.fits.fz,FALSE,,
